client_id,age,gender,region,income_level,segment,device_type,tech_usage
73,21,Male,Sfax,High,Professional,Android,3G
74,46,Female,Sousse,Medium,Unemployed,Android,4G
75,35,Female,Tunis,Medium,Student,Android,3G
76,43,Male,Tunis,Low,Retired,Android,3G
77,61,Male,Monastir,Low,Professional,Android,3G
78,51,Female,Bizerte,Medium,Retired,Android,4G
79,27,Male,Sousse,High,Professional,Android,4G
80,53,Male,Bizerte,Medium,Professional,Android,4G
81,31,Female,Sousse,Medium,Student,iOS,5G
82,48,Female,Sousse,Low,Unemployed,Feature Phone,5G
83,65,Female,Monastir,Low,Professional,Android,5G
84,32,Male,Bizerte,Medium,Retired,iOS,4G
85,25,Female,Monastir,Low,Professional,iOS,5G
86,31,Female,Nabeul,Medium,Unemployed,Feature Phone,4G
87,40,Male,Sousse,Low,Retired,Android,5G
88,57,Female,Kairouan,Medium,Professional,iOS,3G
89,38,Male,Sfax,High,Professional,Android,3G
90,33,Male,Nabeul,Medium,Student,iOS,3G
91,62,Male,Sousse,Low,Unemployed,iOS,5G
92,35,Male,Kairouan,Medium,Professional,iOS,4G
93,64,Male,Sousse,High,Unemployed,Android,4G
94,41,Male,Kairouan,Medium,Professional,iOS,4G
95,43,Female,Bizerte,Low,Retired,Android,5G
96,42,Female,Tunis,Low,Unemployed,Android,5G
97,62,Female,Gabes,Low,Retired,Android,4G
98,58,Male,Nabeul,Low,Unemployed,iOS,4G
99,46,Female,Sousse,High,Retired,Feature Phone,4G
100,32,Male,Gabes,High,Professional,iOS,4G
101,62,Female,Sousse,Low,Retired,Android,5G
102,18,Male,Bizerte,Low,Retired,Android,4G
103,42,Female,Bizerte,Low,Professional,Android,4G
104,24,Male,Kairouan,High,Unemployed,Android,3G
105,26,Female,Sousse,Medium,Retired,Android,3G
106,41,Male,Bizerte,Medium,Student,Android,3G
107,18,Female,Bizerte,Medium,Student,Android,4G
108,61,Male,Sousse,Medium,Retired,iOS,4G
109,25,Female,Kairouan,Low,Retired,iOS,5G
110,41,Female,Kairouan,Low,Retired,iOS,4G
111,28,Female,Kairouan,Medium,Unemployed,Android,4G
112,68,Male,Kairouan,Medium,Professional,Android,3G
113,34,Male,Tunis,Low,Student,Android,5G
114,25,Male,Sousse,Low,Student,Android,4G
115,52,Male,Monastir,Low,Unemployed,iOS,4G
116,52,Male,Tunis,Medium,Retired,Android,4G
117,50,Female,Bizerte,Medium,Retired,iOS,3G
118,22,Male,Tunis,High,Professional,Feature Phone,3G
119,59,Female,Nabeul,Low,Professional,Android,4G
120,56,Female,Monastir,Low,Student,Android,4G
121,58,Male,Monastir,Low,Professional,Feature Phone,4G
122,45,Female,Monastir,Medium,Student,iOS,4G
123,24,Male,Kairouan,Medium,Unemployed,iOS,5G
124,26,Male,Bizerte,Medium,Retired,iOS,5G
125,25,Male,Tunis,Low,Retired,Android,4G
126,29,Female,Tunis,Medium,Student,Android,4G
127,51,Male,Nabeul,High,Retired,Android,4G
128,50,Male,Sousse,High,Unemployed,Android,3G
129,65,Male,Tunis,High,Professional,Android,5G
130,40,Female,Nabeul,Medium,Unemployed,Android,4G
131,41,Male,Bizerte,High,Retired,iOS,5G
132,54,Female,Kairouan,Low,Unemployed,Android,5G
133,52,Female,Sousse,Low,Retired,Android,4G
134,61,Male,Nabeul,Low,Student,Android,3G
135,57,Female,Tunis,Medium,Professional,Android,4G
136,39,Female,Sousse,High,Professional,Android,4G
137,44,Male,Gabes,Low,Retired,iOS,4G
138,52,Male,Sousse,Medium,Retired,iOS,3G
139,18,Male,Monastir,Medium,Professional,Android,4G
140,52,Female,Kairouan,High,Unemployed,Android,5G
141,54,Male,Monastir,Medium,Unemployed,iOS,5G
142,64,Female,Gabes,High,Unemployed,Android,3G
143,31,Female,Monastir,Low,Professional,Android,5G
144,20,Female,Gabes,Low,Student,Android,3G
145,18,Female,Sousse,Medium,Retired,Feature Phone,5G
146,22,Female,Bizerte,Low,Retired,Android,4G
147,43,Male,Kairouan,Low,Professional,Feature Phone,5G
148,31,Male,Bizerte,Medium,Student,Android,4G
149,56,Female,Kairouan,Medium,Professional,Android,4G
150,44,Female,Nabeul,Medium,Unemployed,iOS,4G
151,26,Male,Kairouan,Low,Unemployed,Android,4G
152,32,Male,Monastir,Medium,Retired,Android,4G
153,32,Female,Monastir,Low,Retired,Android,5G
154,43,Female,Bizerte,Low,Retired,Android,4G
155,59,Male,Sfax,Medium,Retired,Android,5G
156,30,Male,Nabeul,Low,Unemployed,iOS,4G
157,68,Female,Gabes,Low,Unemployed,iOS,5G
158,49,Male,Monastir,Medium,Student,Feature Phone,4G
159,56,Male,Nabeul,Low,Retired,iOS,4G
160,66,Female,Monastir,High,Professional,iOS,4G
161,69,Female,Monastir,Medium,Student,iOS,4G
162,49,Female,Sousse,High,Student,iOS,5G
163,21,Male,Bizerte,Low,Unemployed,Android,4G
164,47,Female,Bizerte,Medium,Retired,Android,4G
165,54,Male,Monastir,Low,Student,iOS,4G
166,40,Female,Sousse,High,Retired,Android,4G
167,56,Female,Monastir,Low,Unemployed,Feature Phone,3G
168,62,Male,Gabes,Low,Student,Android,5G
169,32,Male,Sousse,High,Student,Android,4G
170,60,Female,Monastir,Low,Professional,iOS,4G
171,46,Female,Kairouan,Low,Unemployed,Android,3G
172,53,Male,Sfax,Low,Professional,Feature Phone,4G
173,30,Female,Kairouan,Medium,Unemployed,Feature Phone,4G
174,49,Male,Sfax,Low,Professional,iOS,4G
175,24,Male,Sousse,Medium,Unemployed,Android,4G
176,68,Female,Kairouan,Low,Unemployed,Android,3G
177,39,Male,Gabes,Medium,Student,Android,4G
178,45,Male,Nabeul,Medium,Professional,iOS,4G
179,19,Male,Kairouan,Medium,Professional,Android,4G
180,59,Female,Bizerte,Medium,Professional,Android,4G
181,62,Male,Nabeul,Low,Student,Android,4G
182,23,Female,Nabeul,Low,Retired,Android,4G
183,45,Female,Sfax,Low,Unemployed,iOS,4G
184,45,Female,Sfax,Medium,Professional,Android,4G
185,61,Male,Monastir,Medium,Unemployed,Android,5G
186,61,Male,Gabes,High,Student,iOS,3G
187,37,Female,Sfax,Low,Unemployed,iOS,3G
188,47,Female,Sfax,Medium,Student,iOS,3G
189,28,Male,Monastir,Medium,Retired,iOS,4G
190,45,Female,Gabes,Medium,Professional,Android,3G
191,42,Female,Kairouan,High,Student,Android,4G
192,56,Male,Sousse,Low,Unemployed,Feature Phone,5G
193,50,Female,Kairouan,Low,Student,Feature Phone,3G
194,18,Male,Bizerte,Medium,Student,iOS,4G
195,44,Male,Bizerte,Low,Retired,iOS,4G
196,69,Female,Sfax,Low,Professional,Feature Phone,3G
197,30,Male,Nabeul,Low,Student,Android,3G
198,58,Male,Bizerte,Low,Student,Android,4G
199,20,Male,Sousse,Medium,Unemployed,iOS,3G
200,56,Female,Sfax,Low,Student,Feature Phone,5G
201,23,Female,Monastir,Medium,Student,iOS,3G
202,25,Female,Bizerte,Medium,Professional,iOS,4G
203,44,Male,Nabeul,Medium,Professional,Android,4G
204,26,Male,Monastir,High,Unemployed,Android,4G
205,54,Female,Tunis,Low,Student,Android,3G
206,50,Female,Tunis,High,Student,Feature Phone,3G
207,68,Male,Tunis,Medium,Student,Android,5G
208,59,Female,Monastir,Medium,Retired,Android,4G
209,61,Female,Tunis,Medium,Retired,Feature Phone,3G
210,41,Female,Kairouan,Medium,Unemployed,Android,4G
211,32,Female,Tunis,High,Retired,iOS,4G
212,49,Female,Sfax,High,Unemployed,Android,5G
213,49,Male,Gabes,Low,Student,Android,4G
214,41,Female,Kairouan,Low,Retired,iOS,5G
215,58,Female,Nabeul,Medium,Professional,Feature Phone,4G
216,69,Male,Gabes,High,Retired,Android,5G
217,66,Male,Sfax,Low,Student,iOS,3G
218,66,Male,Nabeul,Medium,Professional,Android,3G
219,69,Male,Sfax,Medium,Unemployed,Android,5G
220,29,Female,Sousse,Medium,Student,Android,5G
221,56,Female,Nabeul,Medium,Professional,iOS,4G
222,19,Female,Kairouan,Medium,Retired,Android,4G
223,20,Female,Gabes,High,Unemployed,Android,4G
224,66,Male,Tunis,Medium,Retired,iOS,3G
225,54,Male,Sfax,Medium,Professional,Android,3G
226,66,Female,Tunis,Low,Professional,Android,3G
227,34,Female,Nabeul,Medium,Student,Android,4G
228,66,Female,Gabes,Low,Unemployed,iOS,4G
229,19,Female,Monastir,Low,Unemployed,Android,3G
230,19,Male,Kairouan,Medium,Professional,iOS,5G
231,45,Female,Bizerte,Medium,Student,Android,3G
232,40,Male,Monastir,Medium,Professional,Android,4G
233,54,Male,Nabeul,Low,Professional,iOS,5G
234,49,Male,Nabeul,Medium,Unemployed,Android,3G
235,50,Male,Monastir,Medium,Retired,Feature Phone,4G
236,18,Female,Bizerte,Medium,Retired,Android,4G
237,36,Female,Nabeul,Low,Unemployed,Android,4G
238,19,Female,Nabeul,Medium,Student,Android,4G
239,61,Female,Sfax,High,Unemployed,Android,4G
240,43,Male,Sousse,Low,Student,Android,5G
241,49,Male,Nabeul,Low,Unemployed,Android,3G
242,23,Male,Tunis,Medium,Student,Android,4G
243,49,Female,Sfax,Medium,Professional,Android,4G
244,21,Male,Sousse,Medium,Professional,Android,4G
245,28,Male,Tunis,Medium,Student,Android,3G
246,34,Male,Gabes,Low,Unemployed,Android,4G
247,55,Male,Monastir,Low,Professional,Android,5G
248,41,Female,Monastir,Low,Unemployed,Android,3G
249,22,Male,Bizerte,Low,Retired,iOS,4G
250,69,Male,Sousse,Medium,Professional,iOS,4G
251,51,Female,Tunis,Low,Unemployed,Android,3G
252,23,Female,Nabeul,High,Unemployed,Android,4G
253,39,Female,Sfax,High,Retired,Android,4G
254,28,Male,Tunis,High,Unemployed,iOS,5G
255,65,Male,Sfax,High,Student,Android,4G
256,33,Male,Monastir,Medium,Professional,Android,4G
257,50,Male,Bizerte,High,Student,Android,4G
258,26,Female,Nabeul,Low,Retired,Feature Phone,4G
259,23,Male,Bizerte,Low,Student,iOS,4G
260,33,Male,Tunis,Medium,Unemployed,Android,5G
261,46,Female,Tunis,Low,Retired,Android,5G
262,20,Female,Sfax,High,Retired,iOS,5G
263,37,Female,Sfax,Medium,Student,Android,4G
264,53,Male,Sousse,Medium,Retired,Android,4G
265,36,Male,Monastir,Low,Student,iOS,5G
266,43,Male,Sousse,Medium,Student,Android,4G
267,20,Male,Sousse,Low,Student,Android,4G
268,36,Male,Tunis,High,Retired,Android,4G
269,37,Female,Kairouan,Low,Retired,Feature Phone,5G
270,49,Female,Kairouan,Medium,Professional,Android,4G
271,24,Male,Kairouan,Low,Student,iOS,4G
272,69,Male,Kairouan,Low,Student,Android,5G
273,58,Male,Sousse,Medium,Student,Feature Phone,4G
274,50,Male,Tunis,Low,Student,Feature Phone,4G
275,57,Male,Kairouan,Medium,Student,Android,4G
276,56,Female,Nabeul,Low,Student,Android,4G
277,35,Female,Bizerte,Low,Student,iOS,3G
278,57,Female,Gabes,Medium,Professional,iOS,4G
279,18,Male,Bizerte,Low,Professional,Android,4G
280,28,Male,Tunis,Low,Unemployed,iOS,4G
281,45,Female,Tunis,High,Student,Android,5G
282,42,Female,Gabes,Low,Student,Android,4G
283,67,Male,Sfax,Low,Professional,iOS,5G
284,40,Female,Sfax,Low,Professional,Android,4G
285,48,Female,Nabeul,Medium,Student,Android,4G
286,47,Male,Sfax,Medium,Student,Feature Phone,3G
287,59,Female,Sousse,Low,Professional,iOS,4G
288,52,Female,Sfax,Medium,Professional,Feature Phone,4G
289,24,Female,Monastir,Low,Unemployed,iOS,3G
290,33,Male,Sousse,Medium,Unemployed,iOS,5G
291,43,Female,Sousse,Low,Student,Android,3G
292,65,Female,Nabeul,Medium,Professional,Android,5G
293,69,Female,Sfax,High,Unemployed,Android,4G
294,66,Male,Sfax,Medium,Student,Android,4G
295,19,Male,Nabeul,High,Unemployed,Feature Phone,3G
296,18,Female,Gabes,Low,Unemployed,Android,4G
297,65,Male,Kairouan,Low,Unemployed,Android,3G
298,29,Female,Nabeul,Low,Retired,iOS,4G
299,22,Male,Gabes,Low,Student,Android,4G
300,54,Male,Sousse,Low,Unemployed,Android,4G
301,49,Female,Gabes,Low,Student,Android,5G
302,26,Female,Sousse,Medium,Student,iOS,4G
303,58,Female,Tunis,Low,Professional,Android,4G
304,52,Male,Sousse,Low,Student,Android,4G
305,36,Female,Sousse,Low,Unemployed,Android,5G
306,65,Male,Gabes,High,Student,Android,3G
307,33,Male,Kairouan,Low,Professional,Android,4G
308,20,Female,Tunis,Medium,Retired,Feature Phone,3G
309,37,Male,Bizerte,Medium,Retired,Android,4G
310,41,Female,Bizerte,Medium,Professional,Android,4G
311,50,Male,Kairouan,Low,Unemployed,Feature Phone,4G
312,41,Female,Bizerte,Low,Unemployed,iOS,4G
313,69,Male,Tunis,Medium,Unemployed,Android,4G
314,28,Male,Sfax,Low,Student,Android,4G
315,66,Female,Tunis,Low,Retired,iOS,4G
316,25,Male,Gabes,Low,Unemployed,Android,4G
317,53,Female,Nabeul,High,Retired,Android,4G
318,55,Male,Monastir,Medium,Professional,Android,3G
319,57,Male,Sousse,Medium,Retired,Android,4G
320,37,Male,Sousse,Medium,Unemployed,iOS,4G
321,52,Female,Nabeul,High,Retired,Android,3G
322,65,Female,Gabes,Medium,Professional,Android,4G
323,42,Female,Gabes,Medium,Retired,iOS,4G
324,52,Female,Monastir,High,Student,Android,4G
325,42,Female,Monastir,Medium,Professional,Android,4G
326,46,Male,Sousse,Low,Student,Android,4G
327,35,Male,Monastir,Low,Student,iOS,5G
328,63,Female,Monastir,Medium,Unemployed,Android,4G
329,35,Male,Monastir,High,Unemployed,iOS,4G
330,19,Male,Nabeul,Medium,Professional,Android,3G
331,52,Male,Kairouan,Medium,Unemployed,iOS,5G
332,33,Male,Sfax,Medium,Retired,iOS,5G
333,58,Female,Monastir,Medium,Professional,iOS,3G
334,53,Male,Sfax,Medium,Unemployed,Android,3G
335,50,Female,Sfax,Low,Unemployed,Android,4G
336,21,Female,Gabes,High,Retired,Android,4G
337,50,Male,Monastir,Medium,Student,Android,3G
338,31,Female,Sousse,Medium,Retired,Android,4G
339,38,Male,Kairouan,Low,Student,Android,4G
340,65,Male,Sousse,Low,Unemployed,Feature Phone,4G
341,37,Male,Monastir,Medium,Student,iOS,4G
342,25,Female,Sousse,Medium,Student,Android,4G
343,24,Female,Monastir,Medium,Unemployed,Android,5G
344,20,Female,Kairouan,Low,Professional,iOS,4G
345,34,Male,Tunis,Medium,Retired,Android,4G
346,50,Male,Kairouan,High,Unemployed,Android,5G
347,65,Male,Nabeul,Low,Retired,Android,3G
348,29,Female,Tunis,Medium,Retired,Android,4G
349,68,Male,Bizerte,Medium,Student,iOS,4G
350,39,Male,Tunis,Medium,Unemployed,Feature Phone,4G
351,39,Female,Sfax,Medium,Professional,Android,3G
352,63,Female,Nabeul,Medium,Retired,Android,5G
353,47,Female,Sfax,High,Retired,Android,4G
354,55,Male,Nabeul,Low,Professional,iOS,3G
355,55,Male,Kairouan,Medium,Retired,iOS,5G
356,62,Male,Sfax,Low,Unemployed,Android,4G
357,68,Female,Sfax,Low,Professional,iOS,4G
358,25,Female,Bizerte,Low,Unemployed,Android,4G
359,44,Female,Sfax,Low,Professional,Android,4G
360,44,Female,Gabes,High,Retired,iOS,4G
361,51,Male,Gabes,High,Professional,Android,3G
362,38,Male,Gabes,Low,Unemployed,Android,4G
363,47,Male,Tunis,Medium,Professional,iOS,4G
364,50,Male,Kairouan,Medium,Retired,Android,5G
365,45,Male,Kairouan,High,Student,Android,4G
366,64,Male,Sousse,Medium,Retired,Android,4G
367,50,Male,Bizerte,Low,Retired,Android,3G
368,22,Male,Gabes,Medium,Student,Android,5G
369,65,Female,Gabes,Medium,Professional,Android,4G
370,36,Female,Sfax,Medium,Retired,iOS,4G
371,21,Male,Gabes,High,Student,Feature Phone,5G
372,52,Female,Sfax,High,Unemployed,Android,5G
373,66,Male,Sfax,Medium,Student,Android,4G
374,34,Male,Sousse,Medium,Retired,iOS,4G
375,61,Female,Tunis,High,Unemployed,Feature Phone,5G
376,45,Male,Sfax,Low,Retired,Android,5G
377,47,Male,Sfax,Low,Student,iOS,4G
378,46,Male,Kairouan,Low,Unemployed,Android,4G
379,63,Male,Sousse,High,Retired,Feature Phone,3G
380,23,Male,Sfax,Medium,Student,Android,4G
381,52,Male,Bizerte,Low,Unemployed,Feature Phone,4G
382,58,Male,Tunis,High,Retired,Android,4G
383,54,Female,Nabeul,Medium,Student,Feature Phone,4G
384,41,Female,Bizerte,High,Retired,Android,3G
385,46,Male,Gabes,Low,Retired,Android,3G
386,66,Female,Tunis,Medium,Retired,iOS,4G
387,63,Male,Gabes,Medium,Professional,iOS,4G
388,48,Male,Kairouan,Medium,Retired,iOS,4G
389,52,Male,Monastir,Medium,Unemployed,Android,5G
390,50,Male,Monastir,High,Student,iOS,4G
391,69,Female,Monastir,Low,Student,Feature Phone,4G
392,38,Female,Sfax,High,Professional,Android,3G
393,49,Female,Sousse,Low,Professional,Android,4G
394,40,Female,Bizerte,Low,Professional,iOS,4G
395,50,Male,Gabes,Low,Retired,iOS,4G
396,20,Female,Sfax,Low,Retired,iOS,4G
397,35,Male,Monastir,Low,Unemployed,iOS,3G
398,42,Male,Bizerte,High,Student,iOS,4G
399,59,Female,Bizerte,Medium,Student,iOS,4G
400,48,Male,Kairouan,Medium,Retired,Feature Phone,4G
401,20,Female,Kairouan,Medium,Student,iOS,5G
402,57,Female,Monastir,Low,Retired,iOS,4G
403,63,Female,Gabes,Low,Professional,Android,4G
404,41,Female,Monastir,Medium,Retired,Android,5G
405,67,Female,Monastir,Medium,Unemployed,Android,4G
406,49,Male,Sfax,Medium,Retired,iOS,4G
407,64,Female,Sousse,Medium,Retired,Android,5G
408,39,Female,Monastir,Medium,Student,Android,4G
409,40,Male,Gabes,Medium,Retired,Android,3G
410,19,Female,Bizerte,High,Unemployed,iOS,5G
411,44,Female,Bizerte,Low,Retired,iOS,4G
412,59,Male,Nabeul,Medium,Retired,Feature Phone,4G
413,19,Male,Tunis,Medium,Professional,Android,5G
414,43,Female,Monastir,High,Retired,Android,4G
415,34,Male,Nabeul,Low,Retired,Android,4G
416,57,Female,Nabeul,Medium,Retired,Android,4G
417,50,Male,Sfax,Low,Unemployed,iOS,4G
418,26,Female,Tunis,Medium,Student,Android,3G
419,60,Female,Kairouan,Low,Professional,Android,4G
420,65,Female,Sousse,Low,Professional,Android,3G
421,56,Male,Gabes,Medium,Retired,Android,4G
422,46,Female,Monastir,Low,Retired,Android,3G
423,59,Male,Bizerte,Low,Student,Android,4G
424,43,Female,Sfax,Low,Retired,Android,5G
425,52,Female,Bizerte,Low,Unemployed,Android,4G
426,67,Female,Monastir,High,Student,Android,4G
427,42,Female,Kairouan,Medium,Retired,iOS,5G
428,41,Female,Tunis,High,Student,Feature Phone,3G
429,30,Male,Monastir,Medium,Professional,Android,4G
430,24,Male,Tunis,High,Retired,iOS,4G
431,53,Male,Gabes,Medium,Student,Feature Phone,4G
432,62,Female,Sfax,Medium,Student,Android,4G
433,37,Female,Kairouan,Medium,Retired,Android,4G
434,18,Male,Sfax,Medium,Student,Android,4G
435,25,Female,Gabes,Medium,Retired,Android,4G
436,63,Female,Kairouan,Low,Retired,iOS,4G
437,33,Female,Nabeul,Low,Unemployed,Android,4G
438,31,Male,Kairouan,Medium,Unemployed,iOS,4G
439,29,Male,Tunis,Medium,Student,Android,3G
440,68,Male,Tunis,Low,Student,Feature Phone,5G
441,40,Male,Tunis,Low,Student,Feature Phone,4G
442,32,Male,Bizerte,Medium,Professional,Feature Phone,3G
443,45,Female,Nabeul,High,Retired,iOS,3G
444,51,Female,Sousse,Low,Retired,Android,4G
445,19,Female,Monastir,Low,Professional,iOS,4G
446,49,Female,Tunis,High,Professional,Android,4G
447,40,Male,Sousse,Medium,Student,iOS,4G
448,39,Male,Sousse,Low,Retired,Android,4G
449,68,Female,Sfax,High,Unemployed,Android,4G
450,42,Male,Gabes,Medium,Unemployed,Feature Phone,5G
451,39,Female,Bizerte,Medium,Professional,Android,4G
452,39,Female,Sousse,High,Professional,Android,4G
453,66,Female,Monastir,High,Retired,Android,3G
454,69,Female,Bizerte,Low,Retired,iOS,3G
455,59,Male,Sfax,Low,Unemployed,iOS,4G
456,23,Female,Tunis,Low,Retired,iOS,3G
457,32,Male,Kairouan,Low,Student,iOS,4G
458,60,Female,Sousse,Low,Professional,Android,4G
459,54,Female,Gabes,Low,Unemployed,Android,4G
460,50,Female,Kairouan,High,Unemployed,iOS,4G
461,25,Female,Sfax,High,Student,iOS,4G
462,61,Male,Bizerte,Medium,Retired,Android,4G
463,61,Female,Monastir,Medium,Retired,Android,5G
464,22,Male,Nabeul,Low,Professional,Android,4G
465,56,Female,Tunis,Low,Student,Android,4G
466,21,Female,Bizerte,Low,Unemployed,Android,5G
467,23,Female,Gabes,Medium,Student,Android,4G
468,62,Male,Sousse,Low,Unemployed,Android,4G
469,49,Female,Gabes,High,Student,Android,4G
470,69,Female,Bizerte,Medium,Retired,iOS,4G
471,47,Female,Bizerte,Low,Unemployed,iOS,4G
472,64,Female,Kairouan,Low,Professional,Android,4G
473,52,Female,Gabes,Medium,Student,Android,3G
474,57,Male,Gabes,High,Retired,Feature Phone,5G
475,69,Male,Gabes,Medium,Unemployed,Android,4G
476,33,Female,Tunis,Low,Retired,Feature Phone,4G
477,30,Female,Monastir,Medium,Student,Android,4G
478,67,Male,Bizerte,Low,Professional,iOS,4G
479,59,Female,Sfax,High,Professional,Android,4G
480,47,Male,Tunis,Medium,Student,Android,4G
481,36,Female,Tunis,Medium,Unemployed,Feature Phone,4G
482,34,Female,Tunis,Medium,Retired,Feature Phone,3G
483,36,Male,Kairouan,Medium,Retired,Android,5G
484,45,Female,Nabeul,Low,Unemployed,Feature Phone,5G
485,43,Male,Monastir,Low,Student,Android,3G
486,54,Male,Monastir,Low,Retired,iOS,4G
487,43,Male,Sfax,High,Retired,Android,4G
488,40,Female,Nabeul,Medium,Student,Android,5G
489,26,Male,Gabes,Low,Retired,iOS,4G
490,29,Male,Kairouan,High,Unemployed,Android,3G
491,18,Female,Bizerte,Low,Unemployed,Android,3G
492,18,Female,Nabeul,Low,Student,Android,4G
493,64,Female,Sousse,Low,Student,Android,5G
494,51,Female,Kairouan,Medium,Unemployed,iOS,4G
495,49,Female,Sousse,Medium,Student,Android,3G
496,65,Female,Bizerte,Medium,Unemployed,iOS,4G
497,42,Male,Sfax,Medium,Unemployed,Android,4G
498,57,Female,Monastir,Low,Unemployed,Android,3G
499,62,Male,Sousse,Medium,Retired,Android,5G
500,18,Female,Tunis,Low,Student,iOS,5G
501,33,Male,Kairouan,Medium,Retired,Android,5G
502,56,Male,Nabeul,Medium,Student,Android,4G
503,22,Female,Nabeul,Medium,Professional,Android,4G
504,39,Female,Sousse,Medium,Retired,iOS,4G
505,46,Male,Bizerte,Medium,Retired,Android,3G
506,20,Female,Monastir,Low,Retired,iOS,4G
507,29,Female,Tunis,High,Professional,Android,4G
508,43,Male,Nabeul,Low,Student,Android,5G
509,33,Male,Sousse,Low,Professional,Android,4G
510,68,Male,Monastir,Medium,Student,Android,3G
511,54,Female,Bizerte,Medium,Student,Android,3G
512,39,Female,Sfax,Low,Student,Feature Phone,5G
513,46,Female,Bizerte,High,Student,Android,5G
514,31,Female,Sfax,High,Student,Android,4G
515,45,Male,Nabeul,Medium,Professional,Android,3G
516,22,Female,Monastir,Medium,Retired,Android,4G
517,64,Male,Monastir,Medium,Professional,Android,4G
518,66,Female,Tunis,Low,Retired,iOS,5G
519,47,Female,Bizerte,Medium,Retired,Android,3G
520,63,Male,Gabes,High,Unemployed,iOS,4G
521,69,Female,Nabeul,High,Retired,Android,3G
522,22,Female,Kairouan,High,Professional,Android,4G
523,29,Male,Gabes,Low,Unemployed,Android,4G
524,33,Female,Nabeul,Low,Student,Android,5G
525,43,Male,Gabes,Low,Student,Android,4G
